,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8
247,3,2,5,4,3,2,5,2
248,5,2,5,2,1,1,1,1
249,5,4,3,4,1,1,2,2
250,1,2,3,4,5,2,1,1
251,5,1,4,1,1,1,3,1
252,5,1,5,1,1,1,1,1
253,5,1,5,1,1,1,1,1
254,5,2,4,1,1,1,1,1
255,5,1,5,1,1,1,1,1
256,3,3,2,3,1,2,5,2
257,2,3,2,3,3,3,3,3
258,5,2,5,2,1,1,2,2
259,1,1,5,2,5,2,1,1
260,5,2,5,2,1,2,1,2
261,5,1,5,1,1,1,1,1
262,5,2,5,1,1,1,5,2
263,5,1,5,1,1,1,2,1
264,5,1,5,1,1,1,1,1
265,5,2,4,2,1,2,1,2
266,5,2,5,2,1,1,1,2
267,5,1,5,1,1,1,1,1
268,5,1,5,1,1,1,1,1
269,5,1,4,2,1,2,1,1
270,5,1,5,1,1,2,1,1
271,1,4,2,4,4,2,2,4
272,1,4,2,4,2,1,4,2
273,2,5,1,5,2,4,5,5
274,5,2,4,1,1,1,3,1
275,1,4,1,3,5,3,5,3
276,5,3,4,2,1,2,2,3
277,5,2,5,4,1,2,2,2
278,5,1,5,1,1,1,2,1
279,5,1,5,2,1,2,1,1
280,5,3,5,3,1,1,1,2
281,5,1,1,1,1,1,4,1
282,5,2,4,3,1,2,3,2
283,1,5,2,5,5,5,5,5
284,5,2,5,2,1,2,1,1
285,5,2,4,2,1,1,1,1
286,5,1,5,1,1,1,2,1
287,5,1,4,2,1,1,2,1
288,5,1,5,1,1,1,2,1
289,4,5,3,4,1,5,4,5
290,5,2,5,2,1,2,1,1
291,5,1,5,1,1,1,1,1
292,5,1,4,1,1,1,1,1
293,5,2,5,2,1,1,1,2
294,5,3,3,3,1,2,5,2
295,4,5,1,5,4,2,5,5
296,5,2,4,1,1,1,2,2
297,1,1,2,2,4,2,3,3
298,2,2,3,2,5,1,1,2
299,5,4,4,3,1,1,1,3
300,3,3,2,3,3,3,5,1
301,5,2,5,4,1,2,1,1
302,5,3,2,3,1,1,5,5
303,5,1,3,2,1,3,3,1
304,3,2,2,3,2,2,2,3
305,5,2,5,3,1,2,1,1
